ProductID,Name,Category,Price,Stock,Rating
188,Mega Upsilon Equipment,,159.99,8,4.3
189,Pro Phi Apparatus,Tools,199.99,22,4.6
190,Elite Chi Widget,Electronics,169.99,4,4.1
191,Advanced Psi Gizmo,Appliances,189.99,0,4.9
192,Basic Omega Machine,Tools,192.50,12,4.4
193,Premium Alpha Gadget,Electronics,179.99,89,4.7
194,Eco Beta Device,Appliances,abc,17,4.2
195,Smart Gamma Tool,Tools,209.99,7,
196,Ultra Delta Equipment,Electronics,149.99,0,4.8
197,Mega Epsilon Apparatus,Tools,179.99,14,4.5
198,Pro Zeta Widget,Appliances,159.99,9,4.3
199,,Electronics,199.99,20,4.6
200,Elite Theta Device,Tools,169.99,5,4.1
201,Pro Iota Device,Electronics,174.99,31,4.4
202,Super Kappa Tool,Tools,189.99,42,4.6
203,Ultra Lambda Gadget,Appliances,abc,15,4.2
204,Mega Mu Equipment,Electronics,159.99,67,
205,Elite Nu Apparatus,Tools,199.99,23,4.8
206,,Appliances,169.99,8,4.3
207,Advanced Xi Machine,Electronics,145.50,91,4.7
208,Basic Omicron Widget,Tools,179.99,12,4.1
209,Premium Pi Device,Electronics,209.99,0,4.9
210,Eco Rho Gizmo,Appliances,164.99,5,4.4
211,Smart Sigma Tool,Tools,abc,28,4.2
212,Ultra Tau Equipment,Electronics,189.99,44,
213,Mega Upsilon Apparatus,Appliances,199.99,17,4.8
214,Elite Phi Machine,,159.99,3,4.5
215,Advanced Chi Widget,Electronics,179.99,52,4.3
216,Basic Psi Device,Tools,169.99,9,4.6
217,Premium Omega Tool,Appliances,194.99,0,4.1
218,Eco Alpha Gadget,Electronics,149.99,73,4.9
219,Smart Beta Equipment,Tools,abc,25,4.4
220,,Appliances,184.99,11,4.2
221,Ultra Gamma Apparatus,Electronics,169.99,38,
222,Mega Delta Machine,Tools,199.99,6,4.8
223,Elite Epsilon Widget,Electronics,154.99,82,4.5
224,Advanced Zeta Device,Appliances,179.99,14,4.3
225,Basic Eta Tool,Tools,169.99,0,4.6
226,Premium Theta Gadget,Electronics,189.99,47,4.1
227,Eco Iota Equipment,Appliances,abc,19,4.9
228,Smart Kappa Apparatus,Tools,159.99,63,4.4
229,Ultra Lambda Machine,,174.99,8,4.2
230,Mega Mu Widget,Electronics,199.99,33,
231,Elite Nu Device,Appliances,164.99,5,4.8
232,Advanced Xi Tool,Tools,179.99,91,4.5
233,Basic Omicron Gadget,Electronics,169.99,16,4.3
234,Premium Pi Equipment,Appliances,194.99,0,4.6
235,,Tools,149.99,58,4.1
236,Eco Sigma Apparatus,Electronics,abc,22,4.9
237,Smart Tau Machine,Appliances,189.99,7,4.4
238,Ultra Upsilon Widget,Tools,159.99,84,4.2
239,Mega Phi Device,Electronics,179.99,13,
240,Elite Chi Tool,Appliances,169.99,0,4.8
241,Advanced Psi Gadget,Tools,199.99,45,4.5
242,Basic Omega Equipment,,164.99,9,4.3
243,Premium Alpha Apparatus,Electronics,179.99,71,4.6
244,Eco Beta Machine,Appliances,abc,18,4.1
245,Smart Gamma Widget,Tools,189.99,4,4.9
246,Ultra Delta Device,Electronics,159.99,56,4.4
247,Mega Epsilon Tool,Appliances,174.99,0,4.2
248,Elite Zeta Gadget,Tools,199.99,37,
249,Advanced Eta Equipment,Electronics,169.99,15,4.8
250,Basic Theta Apparatus,Appliances,184.99,82,4.5
